language,lemma,pos,ipa,frequency_rank,level,extra
en,time,,,1,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,day,,,2,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,there,,,3,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,someone,,,4,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,combination,,,5,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,other,,,6,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,language,,,7,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,take,,,8,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,look,,,9,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,eta,,,10,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,christmas,,,11,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,compound,,,12,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,something,,,13,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,new,,,14,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,refers,,,15,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,person,,,16,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,both,,,17,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,people,,,18,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,during,,,19,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,different,,,20,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,contents,,,21,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,sight,,,22,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,utc,,,23,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,might,,,24,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,cooking,,,25,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,daylight,,,26,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,without,,,27,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,standard,,,28,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
en,pint,,,29,A1,"{""source"": ""7esl_live_crawl"", ""source_url"": ""https://7esl.com/vocabulary/"", ""source_license"": ""verify_terms_before_production"", ""dataset"": ""live crawl token frequency"", ""crawled_at"": 1776530734}"
