language,lemma,pos,ipa,frequency_rank,level,extra
en,the,,,1,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,to,,,2,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,and,,,3,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,of,,,4,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,a,,,5,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,in,,,6,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,i,,,7,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,is,,,8,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,for,,,9,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,that,,,10,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
en,you,,,11,A1,"{""source"": ""wordfreq"", ""source_url"": ""https://github.com/rspeer/wordfreq"", ""source_license"": ""Apache-2.0"", ""dataset"": ""top_n_list(en, 600)""}"
